step,u_bar,E_el_ref,E_fr_ref,E_tot_ref,E_el_miehe16,E_fr_miehe16,E_tot_miehe16,E_el_bourdin_ref,E_fr_bourdin_ref,E_tot_bourdin_ref
1,6.00000000e-04,3.52741306e-05,1.09329091e-03,1.12856504e-03,3.52741306e-05,1.09329091e-03,1.12856504e-03,3.52741321e-05,1.09329092e-03,1.12856505e-03
2,1.20000000e-03,1.40903948e-04,1.09160787e-03,1.23251182e-03,1.40902096e-04,1.09147743e-03,1.23237952e-03,1.40904021e-04,1.09160791e-03,1.23251193e-03
3,1.80000000e-03,3.16312014e-04,1.08888993e-03,1.40520194e-03,3.16262328e-04,1.08725381e-03,1.40351614e-03,3.16312635e-04,1.08888999e-03,1.40520262e-03
4,2.40000000e-03,5.60536832e-04,1.08526772e-03,1.64580455e-03,5.60289138e-04,1.08082231e-03,1.64111145e-03,5.60539638e-04,1.08526751e-03,1.64580715e-03
5,3.00000000e-03,8.72233407e-04,1.08092424e-03,1.95315765e-03,8.71443322e-04,1.07229500e-03,1.94373833e-03,8.72242465e-04,1.08092287e-03,1.95316533e-03
6,3.60000000e-03,1.24967180e-03,1.07609563e-03,2.32576743e-03,1.24768090e-03,1.06185857e-03,2.30953947e-03,1.24969559e-03,1.07609105e-03,2.32578663e-03
7,4.20000000e-03,1.69073038e-03,1.07106592e-03,2.76179630e-03,1.68639218e-03,1.04989597e-03,2.73628815e-03,1.69078566e-03,1.07105351e-03,2.76183917e-03
8,4.80000000e-03,2.19287468e-03,1.06619250e-03,3.25906718e-03,2.18425847e-03,1.03692303e-03,3.22118151e-03,2.19299037e-03,1.06616475e-03,3.25915512e-03
9,5.40000000e-03,2.75310990e-03,1.06188677e-03,3.81499667e-03,2.73679087e-03,1.02365594e-03,3.76044681e-03,2.75333833e-03,1.06182899e-03,3.81516733e-03
10,6.00000000e-03,3.36787399e-03,1.05867457e-03,4.42654856e-03,3.33735151e-03,1.01132322e-03,4.34867473e-03,3.36830477e-03,1.05856208e-03,4.42686685e-03
11,6.60000000e-03,4.03277044e-03,1.05724941e-03,5.09001985e-03,3.97431284e-03,1.00334222e-03,4.97765506e-03,4.03356315e-03,1.05703848e-03,5.09060163e-03
12,7.20000000e-03,4.74184037e-03,1.05869123e-03,5.80053160e-03,4.61473597e-03,1.01385440e-03,5.62859037e-03,4.74327689e-03,1.05829868e-03,5.80157557e-03
13,7.80000000e-03,5.48477585e-03,1.06529353e-03,6.55006939e-03,4.02951653e-03,1.55560916e-03,5.58512569e-03,5.48747418e-03,1.06458229e-03,6.55205647e-03
14,8.40000000e-03,6.22716188e-03,1.08732107e-03,7.31448296e-03,3.65796565e-03,2.56630634e-03,6.22427199e-03,6.23095479e-03,1.08674312e-03,7.31769791e-03
15,9.00000000e-03,5.21935037e-03,1.65839916e-03,6.87774953e-03,3.84672656e-03,3.34362545e-03,7.19035201e-03,5.03135767e-03,1.72809228e-03,6.75944995e-03
16,9.60000000e-03,4.76011100e-03,1.97014819e-03,6.73025918e-03,4.14494414e-03,4.02644394e-03,8.17138807e-03,4.80035903e-03,1.99111224e-03,6.79147127e-03
17,1.02000000e-02,4.78258790e-03,2.14379740e-03,6.92638530e-03,4.42687285e-03,4.70251047e-03,9.12938332e-03,4.70149914e-03,2.18290942e-03,6.88440856e-03
18,1.08000000e-02,4.39623348e-03,2.42112401e-03,6.81735749e-03,4.69257691e-03,5.33138429e-03,1.00239612e-02,4.20610682e-03,2.48447383e-03,6.69058064e-03
19,1.14000000e-02,3.53734328e-03,2.77791025e-03,6.31525354e-03,4.96956272e-03,5.96841015e-03,1.09379729e-02,3.20203557e-03,2.86741925e-03,6.06945482e-03
20,1.20000000e-02,2.20067146e-03,3.19588277e-03,5.39655423e-03,5.25757642e-03,6.61246062e-03,1.18700370e-02,1.69422248e-03,3.30946126e-03,5.00368374e-03
21,1.26000000e-02,3.51819666e-05,3.65851657e-03,3.69369854e-03,5.51441533e-03,7.24002114e-03,1.27544365e-02,3.17680350e-05,3.60051485e-03,3.63228289e-03
22,1.32000000e-02,3.32390074e-05,3.66039571e-03,3.69363472e-03,4.36890715e-03,8.19239439e-03,1.25613015e-02,2.89271707e-05,3.60284583e-03,3.63177300e-03
23,1.38000000e-02,3.03280370e-05,3.66240151e-03,3.69272955e-03,1.81194319e-03,9.69219417e-03,1.15041374e-02,2.64646018e-05,3.60486754e-03,3.63133214e-03
24,1.44000000e-02,2.78121359e-05,3.66414802e-03,3.69196015e-03,1.05374494e-05,1.13087637e-02,1.13193012e-02,2.43147010e-05,3.60663497e-03,3.63094967e-03
25,1.50000000e-02,2.56192658e-05,3.66567991e-03,3.69129918e-03,6.72209711e-06,1.28371012e-02,1.28438233e-02,2.24259087e-05,3.60819025e-03,3.63061615e-03
26,1.38000000e-02,2.16841545e-05,3.66567991e-03,3.68736407e-03,5.15966732e-06,1.41278934e-02,1.41330531e-02,1.89812893e-05,3.60819025e-03,3.62717154e-03
27,1.26000000e-02,1.80769606e-05,3.66567991e-03,3.68375687e-03,4.15136686e-06,1.50988378e-02,1.51029892e-02,1.58237213e-05,3.60819025e-03,3.62401397e-03
28,1.14000000e-02,1.47976933e-05,3.66567991e-03,3.68047760e-03,3.31695212e-06,1.60144273e-02,1.60177442e-02,1.29532050e-05,3.60819025e-03,3.62114345e-03
29,1.02000000e-02,1.18463528e-05,3.66567991e-03,3.67752626e-03,2.60859550e-06,1.68103958e-02,1.68130044e-02,1.03697403e-05,3.60819025e-03,3.61855999e-03
30,9.00000000e-03,9.22293907e-06,3.66567991e-03,3.67490285e-03,2.00246999e-06,1.75346775e-02,1.75366799e-02,8.07332719e-06,3.60819025e-03,3.61626357e-03
31,7.80000000e-03,6.92745201e-06,3.66567991e-03,3.67260736e-03,1.48695627e-06,1.82196974e-02,1.82211843e-02,6.06396576e-06,3.60819025e-03,3.61425421e-03
32,6.60000000e-03,4.95989168e-06,3.66567991e-03,3.67063980e-03,1.05463183e-06,1.88706313e-02,1.88716859e-02,4.34165596e-06,3.60819025e-03,3.61253190e-03
33,5.40000000e-03,3.32025806e-06,3.66567991e-03,3.66900017e-03,7.00488546e-07,1.94875363e-02,1.94882368e-02,2.90639779e-06,3.60819025e-03,3.61109664e-03
34,4.20000000e-03,2.00855117e-06,3.66567991e-03,3.66768846e-03,4.20987128e-07,2.00735287e-02,2.00739497e-02,1.75819126e-06,3.60819025e-03,3.60994844e-03
35,3.00000000e-03,1.02477101e-06,3.66567991e-03,3.66670468e-03,2.13593892e-07,2.06334351e-02,2.06336487e-02,8.97036355e-07,3.60819025e-03,3.60908728e-03
36,4.10000000e-03,1.91404451e-06,3.66567991e-03,3.66759396e-03,3.97009745e-07,2.11714716e-02,2.11718686e-02,1.67546457e-06,3.60819025e-03,3.60986571e-03
37,5.20000000e-03,3.07886756e-06,3.66567991e-03,3.66875878e-03,6.35879422e-07,2.16904269e-02,2.16910628e-02,2.69509589e-06,3.60819025e-03,3.61088534e-03
38,6.30000000e-03,4.51924014e-06,3.66567991e-03,3.67019915e-03,9.29781756e-07,2.21920529e-02,2.21929827e-02,3.95593033e-06,3.60819025e-03,3.61214618e-03
39,7.40000000e-03,6.23516226e-06,3.66567991e-03,3.67191507e-03,1.27833565e-06,2.26776084e-02,2.26788867e-02,5.45796787e-06,3.60819025e-03,3.61364821e-03
40,8.50000000e-03,8.22663392e-06,3.66567991e-03,3.67390655e-03,1.68122052e-06,2.31482532e-02,2.31499344e-02,7.20120852e-06,3.60819025e-03,3.61539145e-03
41,9.60000000e-03,1.04936551e-05,3.66567991e-03,3.67617357e-03,2.13816463e-06,2.36051326e-02,2.36072708e-02,9.18565227e-06,3.60819025e-03,3.61737590e-03
42,1.07000000e-02,1.30362258e-05,3.66567991e-03,3.67871614e-03,2.64891074e-06,2.40493355e-02,2.40519844e-02,1.14112991e-05,3.60819025e-03,3.61960154e-03
43,1.18000000e-02,1.58543461e-05,3.66567991e-03,3.68153426e-03,3.21324663e-06,2.44818942e-02,2.44851074e-02,1.38781491e-05,3.60819025e-03,3.62206839e-03
44,1.29000000e-02,1.89480159e-05,3.66567991e-03,3.68462793e-03,3.83086467e-06,2.49037601e-02,2.49075910e-02,1.65862022e-05,3.60819025e-03,3.62477645e-03
45,1.40000000e-02,2.23172353e-05,3.66567991e-03,3.68799715e-03,4.50118173e-06,2.53158558e-02,2.53203570e-02,1.95354584e-05,3.60819025e-03,3.62772570e-03
46,1.51000000e-02,2.52803535e-05,3.66591718e-03,3.69119753e-03,5.22300898e-06,2.57191338e-02,2.57243568e-02,2.21334799e-05,3.60843130e-03,3.63056478e-03
47,1.62000000e-02,2.19897003e-05,3.66823391e-03,3.69022362e-03,5.99431612e-06,2.61146105e-02,2.61206048e-02,1.92756480e-05,3.61079218e-03,3.63006783e-03
48,1.73000000e-02,1.93361669e-05,3.67011520e-03,3.68945137e-03,6.80365734e-06,2.65035848e-02,2.65103885e-02,1.69593745e-05,3.61271434e-03,3.62967371e-03
49,1.84000000e-02,1.71627872e-05,3.67166573e-03,3.68882851e-03,7.60364519e-06,2.68882453e-02,2.68958489e-02,1.50570240e-05,3.61430080e-03,3.62935782e-03
50,1.95000000e-02,1.53595797e-05,3.67295991e-03,3.68831949e-03,8.32835444e-06,2.72690866e-02,2.72774150e-02,1.34770403e-05,3.61562579e-03,3.62910283e-03
